member_id,first_name,last_name,email,phone,address,membership_type,join_date,expiry_date
1,Ricky,Buck,jamie46@hotmail.com,(739) 935-7706,"803 Renee Flats, Maxwellhaven, IA 17876",Regular,2025-02-23,2026-08-14
2,Julia,Simmons,pmullen@hernandez-phillips.com,(468) 394-1596,"USNS Santos, FPO AA 47734",Student,2023-05-05,2026-03-04
3,Anna,Soto,jeancolon@kelly-cervantes.com,(762) 393-8357,"74076 Carlson Fort, Lake Elizabeth, UT 04029",Student,2024-05-01,2027-01-09
4,Benjamin,Garcia,kathyfinley@acosta.org,(952) 724-4931,"48445 Jordan Crescent, East Steven, WA 03319",Premium,2024-09-28,2027-06-28
5,Maria,Hamilton,daniel80@wolfe-fisher.com,(688) 201-8264,"6738 Shepherd Trace, New Cynthia, OR 95505",Regular,2025-01-25,2028-04-20
6,Kevin,Nelson,brendajames@rollins-lucas.net,(728) 934-9147,"143 Ryan Estates Apt. 599, North Jeffrey, NM 63402",Student,2025-02-12,2026-04-24
7,Alexis,Ortiz,qjones@hotmail.com,(488) 385-6668,"Unit 0387 Box 4265, DPO AE 67986",Regular,2024-07-15,2025-09-11
8,Emily,Tucker,thomasparker@yahoo.com,(629) 660-4287,"325 Michael Field, Kellyberg, IN 55723",Premium,2023-08-21,2026-09-21
9,Harry,Hatfield,rcollins@yahoo.com,(655) 280-2285,"00626 Aaron Summit, Timothytown, WA 37516",Regular,2024-06-03,2026-02-04
10,Wayne,Gordon,zhicks@yahoo.com,(646) 555-7065,"72042 Melanie Corners, Lake Christopherhaven, MS 74792",Premium,2024-05-23,2028-05-11
11,Juan,Kim,sandovalbrandi@rios-haney.net,(903) 948-6745,"696 Fleming Summit, Lake Justin, AZ 32915",Regular,2023-10-09,2025-09-26
12,Crystal,Foster,lynncampbell@ramos-nelson.com,(593) 618-1817,"113 Steven Trail Apt. 154, Seanview, AR 85623",Regular,2023-01-13,2026-09-07
13,Felicia,Coleman,victorianorman@yahoo.com,(821) 817-6020,"3070 Soto Light, Carolynside, ND 41128",Student,2025-05-07,2026-12-08
